id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
153,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,male,2007
23,Adelie,Biscoe,38.2,18.1,185.0,3950.0,male,2007
238,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,female,2009
134,Adelie,Dream,38.1,17.6,187.0,3425.0,female,2009
268,Gentoo,Biscoe,44.5,15.7,217.0,4875.0,,2009
253,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,male,2009
236,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,female,2009
202,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,female,2008
62,Adelie,Biscoe,37.6,17.0,185.0,3600.0,female,2008
105,Adelie,Biscoe,39.7,18.9,184.0,3550.0,male,2009
103,Adelie,Biscoe,37.8,20.0,190.0,4250.0,male,2009
66,Adelie,Biscoe,35.5,16.2,195.0,3350.0,female,2008
165,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,male,2007
7,Adelie,Torgersen,39.2,19.6,195.0,4675.0,male,2007
147,Adelie,Dream,36.6,18.4,184.0,3475.0,female,2009
45,Adelie,Dream,39.6,18.8,190.0,4600.0,male,2007
123,Adelie,Torgersen,41.4,18.5,202.0,3875.0,male,2009
316,Chinstrap,Dream,49.0,19.5,210.0,3950.0,male,2008
125,Adelie,Torgersen,40.6,19.0,199.0,4000.0,male,2009
159,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,male,2007
34,Adelie,Dream,36.4,17.0,195.0,3325.0,female,2007
339,Chinstrap,Dream,55.8,19.8,207.0,4000.0,male,2009
313,Chinstrap,Dream,52.0,20.7,210.0,4800.0,male,2008
10,Adelie,Torgersen,37.8,17.1,186.0,3300.0,,2007
47,Adelie,Dream,37.5,18.9,179.0,2975.0,,2007
160,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,female,2007
96,Adelie,Dream,38.1,18.6,190.0,3700.0,female,2008
51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,male,2008
261,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,male,2009
247,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,male,2009
3,Adelie,Torgersen,,,,,,2007
48,Adelie,Dream,36.0,17.9,190.0,3450.0,female,2007
211,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,male,2008
230,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,female,2008
68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,female,2008
115,Adelie,Biscoe,42.7,18.3,196.0,4075.0,male,2009
185,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,male,2007
95,Adelie,Dream,40.8,18.9,208.0,4300.0,male,2008
340,Chinstrap,Dream,43.5,18.1,202.0,3400.0,female,2009
216,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,female,2008
218,Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,2008
336,Chinstrap,Dream,51.9,19.5,206.0,3950.0,male,2009
100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,female,2009
269,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,male,2009
40,Adelie,Dream,36.5,18.0,182.0,3150.0,female,2007
14,Adelie,Torgersen,34.6,21.1,198.0,4400.0,male,2007
12,Adelie,Torgersen,41.1,17.6,182.0,3200.0,female,2007
248,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,male,2009
279,Chinstrap,Dream,45.4,18.7,188.0,3525.0,female,2007
334,Chinstrap,Dream,50.2,18.8,202.0,3800.0,male,2009
70,Adelie,Torgersen,33.5,19.0,190.0,3600.0,female,2008
39,Adelie,Dream,39.8,19.1,184.0,4650.0,male,2007
98,Adelie,Dream,33.1,16.1,178.0,2900.0,female,2008
77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,male,2008
198,Gentoo,Biscoe,45.5,13.9,210.0,4200.0,female,2008
225,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,female,2008
54,Adelie,Biscoe,34.5,18.1,187.0,2900.0,female,2008
79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,male,2008
283,Chinstrap,Dream,51.3,18.2,197.0,3750.0,male,2007
174,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,female,2007
6,Adelie,Torgersen,38.9,17.8,181.0,3625.0,female,2007
311,Chinstrap,Dream,47.5,16.8,199.0,3900.0,female,2008
287,Chinstrap,Dream,51.7,20.3,194.0,3775.0,male,2007
263,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,male,2009
183,Gentoo,Biscoe,42.8,14.2,209.0,4700.0,female,2007
150,Adelie,Dream,36.0,17.1,187.0,3700.0,female,2009
161,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,male,2007
38,Adelie,Dream,37.6,19.3,181.0,3300.0,female,2007
232,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,female,2009
169,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,male,2007
314,Chinstrap,Dream,46.9,16.6,192.0,2700.0,female,2008
56,Adelie,Biscoe,39.0,17.5,186.0,3550.0,female,2008
86,Adelie,Dream,36.3,19.5,190.0,3800.0,male,2008
315,Chinstrap,Dream,53.5,19.9,205.0,4500.0,male,2008
179,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,male,2007
122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,female,2009
69,Adelie,Torgersen,41.8,19.4,198.0,4450.0,male,2008
226,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,female,2008
104,Adelie,Biscoe,37.9,18.6,193.0,2925.0,female,2009
144,Adelie,Dream,37.3,16.8,192.0,3000.0,female,2009
137,Adelie,Dream,40.2,20.1,200.0,3975.0,male,2009
190,Gentoo,Biscoe,44.0,13.6,208.0,4350.0,female,2008
277,Chinstrap,Dream,50.0,19.5,196.0,3900.0,male,2007
111,Adelie,Biscoe,45.6,20.3,191.0,4600.0,male,2009
29,Adelie,Biscoe,40.5,18.9,180.0,3950.0,male,2007
30,Adelie,Dream,39.5,16.7,178.0,3250.0,female,2007
204,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,female,2008
251,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,male,2009
284,Chinstrap,Dream,46.0,18.9,195.0,4150.0,female,2007
166,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,female,2007
267,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,male,2009
109,Adelie,Biscoe,43.2,19.0,197.0,4775.0,male,2009
189,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,male,2008
266,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,female,2009
289,Chinstrap,Dream,52.0,18.1,201.0,4050.0,male,2007
215,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,male,2008
138,Adelie,Dream,37.0,16.5,185.0,3400.0,female,2009
212,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,female,2008
199,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,male,2008
131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,male,2009
338,Chinstrap,Dream,45.7,17.0,195.0,3650.0,female,2009
193,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,male,2008
237,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,male,2009
57,Adelie,Biscoe,40.6,18.8,193.0,3800.0,male,2008
257,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,male,2009
241,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,male,2009
50,Adelie,Biscoe,39.6,17.7,186.0,3500.0,female,2008
201,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,male,2008
343,Chinstrap,Dream,50.2,18.7,198.0,3775.0,female,2009
278,Chinstrap,Dream,51.3,19.2,193.0,3650.0,male,2007
53,Adelie,Biscoe,42.0,19.5,200.0,4050.0,male,2008
28,Adelie,Biscoe,37.9,18.6,172.0,3150.0,female,2007
243,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,male,2009
300,Chinstrap,Dream,46.7,17.9,195.0,3300.0,female,2007
259,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,male,2009
252,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,female,2009
42,Adelie,Dream,36.0,18.5,186.0,3100.0,female,2007
203,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,male,2008
303,Chinstrap,Dream,49.5,19.0,200.0,3800.0,male,2008
276,Chinstrap,Dream,46.5,17.9,192.0,3500.0,female,2007
43,Adelie,Dream,44.1,19.7,196.0,4400.0,male,2007
19,Adelie,Torgersen,46.0,21.5,194.0,4200.0,male,2007
21,Adelie,Biscoe,37.7,18.7,180.0,3600.0,male,2007
325,Chinstrap,Dream,49.8,17.3,198.0,3675.0,female,2009
44,Adelie,Dream,37.0,16.9,185.0,3000.0,female,2007
234,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,female,2009
286,Chinstrap,Dream,46.6,17.8,193.0,3800.0,female,2007
164,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,female,2007
162,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,female,2007
222,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,female,2008
186,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,female,2008
231,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,male,2008
1,Adelie,Torgersen,39.5,17.4,186.0,3800.0,female,2007
335,Chinstrap,Dream,45.6,19.4,194.0,3525.0,female,2009
290,Chinstrap,Dream,45.9,17.1,190.0,3575.0,female,2007
187,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,male,2008
176,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,female,2007
132,Adelie,Dream,36.8,18.5,193.0,3500.0,female,2009
217,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,male,2008
24,Adelie,Biscoe,38.8,17.2,180.0,3800.0,male,2007
293,Chinstrap,Dream,58.0,17.8,181.0,3700.0,female,2007
13,Adelie,Torgersen,38.6,21.2,191.0,3800.0,male,2007
320,Chinstrap,Dream,50.9,17.9,196.0,3675.0,female,2009
242,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,female,2009
280,Chinstrap,Dream,52.7,19.8,197.0,3725.0,male,2007
119,Adelie,Torgersen,41.1,18.6,189.0,3325.0,male,2009
275,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,male,2009
262,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,female,2009
328,Chinstrap,Dream,45.7,17.3,193.0,3600.0,female,2009
91,Adelie,Dream,41.1,18.1,205.0,4300.0,male,2008
155,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,male,2007
240,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,female,2009
128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,female,2009
341,Chinstrap,Dream,49.6,18.2,193.0,3775.0,male,2009
330,Chinstrap,Dream,42.5,17.3,187.0,3350.0,female,2009
227,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,male,2008
256,Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,2009
250,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,female,2009
173,Gentoo,Biscoe,45.1,14.5,215.0,5000.0,female,2007
272,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,female,2009
197,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,female,2008
167,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,male,2007
102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,female,2009
113,Adelie,Biscoe,42.2,19.5,197.0,4275.0,male,2009
117,Adelie,Torgersen,37.3,20.5,199.0,3775.0,male,2009
196,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,male,2008
18,Adelie,Torgersen,34.4,18.4,184.0,3325.0,female,2007
171,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,male,2007
175,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,male,2007
80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,female,2008
170,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,female,2007
151,Adelie,Dream,41.5,18.5,201.0,4000.0,male,2009
191,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,male,2008
309,Chinstrap,Dream,51.0,18.8,203.0,4100.0,male,2008
229,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,male,2008
124,Adelie,Torgersen,35.2,15.9,186.0,3050.0,female,2009
157,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,female,2007
5,Adelie,Torgersen,39.3,20.6,190.0,3650.0,male,2007
327,Chinstrap,Dream,51.4,19.0,201.0,3950.0,male,2009
270,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,female,2009
152,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,female,2007
273,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,male,2009
31,Adelie,Dream,37.2,18.1,178.0,3900.0,male,2007
15,Adelie,Torgersen,36.6,17.8,185.0,3700.0,female,2007
37,Adelie,Dream,42.2,18.5,180.0,3550.0,female,2007
107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,male,2009
135,Adelie,Dream,41.1,17.5,190.0,3900.0,male,2009
136,Adelie,Dream,35.6,17.5,191.0,3175.0,female,2009
297,Chinstrap,Dream,48.5,17.5,191.0,3400.0,male,2007
291,Chinstrap,Dream,50.5,19.6,201.0,4050.0,male,2007
337,Chinstrap,Dream,46.8,16.5,189.0,3650.0,female,2009
224,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,male,2008
127,Adelie,Torgersen,41.5,18.3,195.0,4300.0,male,2009
312,Chinstrap,Dream,47.6,18.3,195.0,3850.0,female,2008
17,Adelie,Torgersen,42.5,20.7,197.0,4500.0,male,2007
67,Adelie,Biscoe,41.1,19.1,188.0,4100.0,male,2008
305,Chinstrap,Dream,52.8,20.0,205.0,4550.0,male,2008
0,Adelie,Torgersen,39.1,18.7,181.0,3750.0,male,2007
99,Adelie,Dream,43.2,18.5,192.0,4100.0,male,2008
292,Chinstrap,Dream,50.3,20.0,197.0,3300.0,male,2007
2,Adelie,Torgersen,40.3,18.0,195.0,3250.0,female,2007
126,Adelie,Torgersen,38.8,17.6,191.0,3275.0,female,2009
25,Adelie,Biscoe,35.3,18.9,187.0,3800.0,female,2007
16,Adelie,Torgersen,38.7,19.0,195.0,3450.0,female,2007
233,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,male,2009
307,Chinstrap,Dream,54.2,20.8,201.0,4300.0,male,2008
63,Adelie,Biscoe,41.1,18.2,192.0,4050.0,male,2008
221,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,male,2008
318,Chinstrap,Dream,50.9,19.1,196.0,3550.0,male,2008
319,Chinstrap,Dream,45.5,17.0,196.0,3500.0,female,2008
172,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,male,2007
82,Adelie,Torgersen,36.7,18.8,187.0,3800.0,female,2008
141,Adelie,Dream,40.6,17.2,187.0,3475.0,male,2009
116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,female,2009
244,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,female,2009
245,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,male,2009
87,Adelie,Dream,36.9,18.6,189.0,3500.0,female,2008
331,Chinstrap,Dream,52.2,18.8,197.0,3450.0,male,2009
304,Chinstrap,Dream,46.4,17.8,191.0,3700.0,female,2008
59,Adelie,Biscoe,37.6,19.1,194.0,3750.0,male,2008
76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,female,2008
192,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,female,2008
145,Adelie,Dream,39.0,18.7,185.0,3650.0,male,2009
89,Adelie,Dream,38.9,18.8,190.0,3600.0,female,2008
74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,female,2008
106,Adelie,Biscoe,38.6,17.2,199.0,3750.0,female,2009
220,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,female,2008
11,Adelie,Torgersen,37.8,17.3,180.0,3700.0,,2007
235,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,male,2009
324,Chinstrap,Dream,51.5,18.7,187.0,3250.0,male,2009
210,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,female,2008
110,Adelie,Biscoe,38.1,16.5,198.0,3825.0,female,2009
130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,female,2009
282,Chinstrap,Dream,46.1,18.2,178.0,3250.0,female,2007
108,Adelie,Biscoe,38.1,17.0,181.0,3175.0,female,2009
296,Chinstrap,Dream,42.4,17.3,181.0,3600.0,female,2007
207,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,male,2008
255,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,male,2009
